Date,Price (All),Price (New),Price (Modern),Price (Older),GDP
1952,1891.0,2107.0,2020.0,1524.0,388696
1953,1883.75,2112.0,1995.25,1537.5,410131
1954,1862.75,2122.0,1957.0,1519.5,427782
1955,1927.75,2204.5,2021.75,1580.25,444118
1956,1996.0,2310.5,2100.0,1622.25,451340
1957,2025.5,2373.75,2106.75,1664.75,459964
1958,2056.0,2416.5,2127.0,1694.0,465818
1959,2119.0,2487.0,2187.25,1752.5,484978
1960,2263.25,2686.0,2337.0,1871.0,515374
1961,2463.5,2930.5,2531.0,2043.75,529152
1962,2617.25,3089.5,2681.0,2184.75,534988
1963,2840.75,3263.25,2946.75,2370.75,561064
1964,3103.75,3502.5,3223.75,2595.0,592129
1965,3353.0,3799.75,3518.5,2765.5,604795
1966,3541.75,4014.0,3715.0,2913.0,614312
1967,3735.0,4245.75,3907.25,3090.25,631429
1968,4010.0,4525.5,4175.5,3354.5,665784
1969,4221.75,4750.0,4383.25,3558.5,678594
1970,4480.0,5032.25,4622.25,3809.5,696970
1971,5106.5,5772.75,5276.75,4336.25,721255
1972,6960.0,7871.75,7187.0,5902.75,752283
1973,9044.5,10417.0,9218.25,7692.25,801247
1974,10077.75,11423.0,10071.75,8712.5,781509
1975,10845.5,12454.0,10744.5,9422.25,769950
1976,11866.5,13974.5,11744.0,10198.5,792356
1977,12804.5,15462.25,12594.0,10957.75,811714
1978,15261.5,18481.75,15095.25,12981.5,845821
1979,19829.75,23855.25,19608.25,17143.75,877467
1980,23287.5,28862.75,23088.25,20173.75,859674
1981,23953.5,30974.5,23730.0,20599.75,853046
1982,24851.25,32682.0,24691.75,21344.0,870197
1983,27622.75,35603.5,27616.0,23786.75,906936
1984,31076.25,39430.25,31157.5,27101.25,927580
1985,34377.5,43706.25,34211.75,30059.25,966495
1986,37626.5,47863.75,37299.5,33186.75,996691
1987,43164.5,53604.0,42631.5,38575.0,1049581
1988,51405.0,63451.25,51321.25,45046.25,1109907
1989,61513.75,72022.5,60933.75,55293.5,1138425
1990,57683.25,67490.5,57684.25,52657.0,1146756
1991,54625.75,64693.75,55660.0,49829.0,1134296
1992,51815.25,62911.25,52873.75,47159.75,1138538
1993,51210.5,61530.5,52128.5,46803.25,1167308
1994,51633.5,60364.75,52587.75,47499.5,1212600
1995,51245.25,62584.0,52064.25,47215.0,1242548
1996,53394.0,66663.75,53921.0,48461.0,1274093
1997,59199.25,72796.75,59277.75,54791.5,1325543
1998,65200.75,76907.25,64967.25,61351.5,1367136
1999,71122.0,82648.5,70726.0,67619.25,1411112
2000,80365.75,91138.75,80109.25,77014.5,1462818
2001,88799.0,99737.25,88472.0,85336.5,1500034
2002,106406.75,116495.25,106718.25,102629.5,1536903
2003,127246.0,135333.75,127997.0,124103.75,1588019
2004,148658.25,156897.25,148921.75,146538.5,1625567
2005,156324.5,164543.25,155108.25,154382.25,1675896
2006,166469.75,173973.75,163904.0,164435.5,1717055
2007,181363.5,189345.5,171591.25,180669.25,1757521
2008,168973.25,179348.0,158036.25,168356.25,1749216
2009,156512.5,161398.0,145836.0,155856.25,1675963
2010,165482.75,169185.75,153671.5,166222.75,1704364
2011,165131.25,170555.5,153045.25,166442.75,1729121
2012,163627.75,173532.75,151063.25,165722.5,1754736
2013,168928.0,178002.75,155989.5,171481.0,1790750
2014,185620.0,192206.0,171002.5,190877.75,1845444
2015,191412.0,193472.5,176705.5,197593.0,1888737
