,Date,Price (All),Price (New),Price (Modern),Price (Older)
0,1952-11-01,1891,2107,2020,1524
1,1953-02-01,1891,2107,2002,1542
2,1953-05-01,1891,2107,2002,1542
3,1953-08-01,1881,2117,2002,1524
4,1953-11-01,1872,2117,1975,1542
5,1954-02-01,1863,2117,1957,1524
6,1954-05-01,1872,2117,1984,1515
7,1954-08-01,1863,2127,1948,1524
8,1954-11-01,1853,2127,1939,1515
9,1955-02-01,1900,2167,1984,1569
10,1955-05-01,1937,2217,2037,1578
11,1955-08-01,1937,2217,2037,1587
12,1955-11-01,1937,2217,2029,1587
13,1956-02-01,1975,2278,2082,1596
14,1956-05-01,2003,2318,2109,1631
15,1956-08-01,2003,2318,2109,1631
16,1956-11-01,2003,2328,2100,1631
17,1957-02-01,2021,2348,2109,1658
18,1957-05-01,2021,2369,2100,1667
19,1957-08-01,2030,2379,2109,1667
20,1957-11-01,2030,2399,2109,1667
21,1958-02-01,2049,2409,2118,1685
22,1958-05-01,2049,2409,2109,1694
23,1958-08-01,2058,2419,2136,1694
24,1958-11-01,2068,2429,2145,1703
25,1959-02-01,2077,2439,2145,1721
26,1959-05-01,2105,2459,2172,1748
27,1959-08-01,2124,2490,2189,1757
28,1959-11-01,2170,2560,2243,1784
29,1960-02-01,2189,2600,2261,1811
30,1960-05-01,2235,2661,2297,1855
31,1960-08-01,2301,2721,2386,1891
32,1960-11-01,2328,2762,2404,1927
33,1961-02-01,2403,2893,2484,1963
34,1961-05-01,2440,2923,2502,2026
35,1961-08-01,2468,2933,2520,2071
36,1961-11-01,2543,2973,2618,2115
37,1962-02-01,2552,2994,2627,2124
38,1962-05-01,2599,3084,2663,2169
39,1962-08-01,2645,3125,2708,2205
40,1962-11-01,2673,3155,2726,2241
41,1963-02-01,2748,3185,2833,2295
42,1963-05-01,2822,3256,2922,2357
43,1963-08-01,2850,3286,2958,2375
44,1963-11-01,2943,3326,3074,2456
45,1964-02-01,2999,3377,3101,2528
46,1964-05-01,3092,3457,3217,2582
47,1964-08-01,3139,3578,3244,2635
48,1964-11-01,3185,3598,3333,2635
49,1965-02-01,3269,3699,3476,2644
50,1965-05-01,3344,3800,3494,2779
51,1965-08-01,3381,3840,3512,2815
52,1965-11-01,3418,3860,3592,2824
53,1966-02-01,3465,3891,3655,2832
54,1966-05-01,3558,3991,3726,2958
55,1966-08-01,3558,4062,3753,2895
56,1966-11-01,3586,4112,3726,2967
57,1967-02-01,3642,4183,3807,2994
58,1967-05-01,3698,4223,3878,3039
59,1967-08-01,3763,4243,3941,3128
60,1967-11-01,3837,4334,4003,3200
61,1968-02-01,3903,4344,4084,3272
62,1968-05-01,3996,4495,4182,3325
63,1968-08-01,4052,4606,4200,3397
64,1968-11-01,4089,4657,4236,3424
65,1969-02-01,4145,4657,4307,3496
66,1969-05-01,4201,4697,4379,3532
67,1969-08-01,4229,4798,4370,3576
68,1969-11-01,4312,4848,4477,3630
69,1970-02-01,4378,4939,4522,3711
70,1970-05-01,4452,4949,4620,3774
71,1970-08-01,4508,5080,4629,3845
72,1970-11-01,4582,5161,4718,3908
73,1971-02-01,4741,5352,4888,4043
74,1971-05-01,4908,5584,5067,4159
75,1971-08-01,5244,5916,5406,4473
76,1971-11-01,5533,6239,5746,4670
77,1972-02-01,6008,6733,6202,5136
78,1972-05-01,6557,7267,6836,5531
79,1972-08-01,7395,8396,7632,6257
80,1972-11-01,7880,9091,8078,6687
81,1973-02-01,8396,9844,8551,7147
82,1973-05-01,8832,10232,9067,7475
83,1973-08-01,9183,10504,9438,7794
84,1973-11-01,9767,11088,9817,8353
85,1974-02-01,9928,11242,9987,8496
86,1974-05-01,10027,11374,10025,8648
87,1974-08-01,10148,11450,10109,8829
88,1974-11-01,10208,11626,10166,8877
89,1975-02-01,10388,11780,10279,9096
90,1975-05-01,10728,12265,10626,9334
91,1975-08-01,10978,12627,10872,9534
92,1975-11-01,11288,13144,11201,9725
93,1976-02-01,11519,13463,11417,9924
94,1976-05-01,11739,13793,11586,10144
95,1976-08-01,11999,14134,11916,10258
96,1976-11-01,12209,14508,12057,10468
97,1977-02-01,12409,14816,12236,10658
98,1977-05-01,12689,15267,12490,10858
99,1977-08-01,12970,15641,12745,11115
100,1977-11-01,13150,16125,12905,11200
101,1978-02-01,13820,16851,13573,11791
102,1978-05-01,14491,17577,14251,12372
103,1978-08-01,15912,19216,15822,13467
104,1978-11-01,16823,20283,16735,14296
105,1979-02-01,17793,21658,17620,15210
106,1979-05-01,19075,22923,18900,16420
